Row   2 | [LCMP    ] LOADING COMPUTER                           | FUNC: MEASUREMENT INSTRUMENTS                  | MACH: LAODING COMPUTER                    | WISDOM_FUNC: ELECTRONIC EQUIPMENT
Row  56 | [CH4FSF1 ] NO.4 CARGO HOLD (4F) SUPPLY FAN NO.1       | FUNC: HEATING, VENTILATION & AIR CONDITIONING  | MACH: VENTILATION FAN                     | WISDOM_FUNC: HEATING, VENTILATION & AIR CONDITIONING
Row  57 | [CH4FSF2 ] NO.4 CARGO HOLD (4F) SUPPLY FAN NO.2       | FUNC: HEATING, VENTILATION & AIR CONDITIONING  | MACH: VENTILATION FAN                     | WISDOM_FUNC: HEATING, VENTILATION & AIR CONDITIONING
Row  58 | [CH4FSF3 ] NO.4 CARGO HOLD (4F) SUPPLY FAN NO.3       | FUNC: HEATING, VENTILATION & AIR CONDITIONING  | MACH: VENTILATION FAN                     | WISDOM_FUNC: HEATING, VENTILATION & AIR CONDITIONING
Row  59 | [CH4FSF4 ] NO.4 CARGO HOLD (4F) SUPPLY FAN NO.4       | FUNC: HEATING, VENTILATION & AIR CONDITIONING  | MACH: VENTILATION FAN                     | WISDOM_FUNC: HEATING, VENTILATION & AIR CONDITIONING
Row  60 | [CH4FSF5 ] NO.4 CARGO HOLD (4F) SUPPLY FAN NO.5       | FUNC: HEATING, VENTILATION & AIR CONDITIONING  | MACH: VENTILATION FAN                     | WISDOM_FUNC: HEATING, VENTILATION & AIR CONDITIONING
Row  61 | [CH4FSF6 ] NO.4 CARGO HOLD (4F) SUPPLY FAN NO.6       | FUNC: HEATING, VENTILATION & AIR CONDITIONING  | MACH: VENTILATION FAN                     | WISDOM_FUNC: HEATING, VENTILATION & AIR CONDITIONING
Row  62 | [GLE     ] GALLEY AND LAUNDRY EQUIPMENTS              | FUNC: GALLEY                                   | MACH: GALLEY & LAUNDRY EQUIPMENT          | WISDOM_FUNC: GALLEY
Row  63 | [CVSCRN1 ] CLEAR VIEW SCREEN NO.1                     | FUNC: NAVIGATION EQUIPMENT                     | MACH: WINDOW WIPER & CLEAR VIEW SCREEN    | WISDOM_FUNC: NAVIGATION EQUIPMENT
Row  64 | [CVSCRN2 ] CLEAR VIEW SCREEN NO.2                     | FUNC: NAVIGATION EQUIPMENT                     | MACH: WINDOW WIPER & CLEAR VIEW SCREEN    | WISDOM_FUNC: NAVIGATION EQUIPMENT
Row  65 | [GEF     ] GALLEY EXH. FAN                            | FUNC: HEATING, VENTILATION & AIR CONDITIONING  | MACH: VENTILATION FAN                     | WISDOM_FUNC: HEATING, VENTILATION & AIR CONDITIONING
